Group,Feature
1,t_500_weekave_atlantic_trop_pc20
2,ts_weekave_atlantic_trop_pc20
3,t_500_weekave_atlantic_trop_pc13
4,ts_weekave_arctic_pc18
5,t_500_weekave_mexico_gulf_pc16
6,h_500_weekave_mexico_gulf_pc15
7,t_500_weekave_mexico_gulf_pc18
8,t_500_weekave_conus_pc20
9,t_500_weekave_mexico_gulf_pc14
10,h_500_weekave_mexico_gulf_pc20
11,t_500_weekave_mexico_gulf_pc20
12,h_850_weekave_mexico_gulf_pc19
13,t_500_weekave_mexico_gulf_pc11
14,h_500_weekave_mexico_gulf_pc18
15,slp_weekave_mexico_gulf_pc18
16,h_850_weekave_mexico_gulf_pc20
17,ts_weekave_mexico_gulf_pc19
18,t_500_weekave_mexico_gulf_pc19
19,t_500_weekave_mexico_gulf_pc15
20,h_500_weekave_mexico_gulf_pc16
21,h_850_weekave_mexico_gulf_pc17
22,t_500_weekave_conus_pc15
22,h_500_weekave_conus_pc17
23,h_500_weekave_conus_pc15
23,t_500_weekave_conus_pc16
24,slp_weekave_mexico_gulf_pc12
24,h_850_weekave_mexico_gulf_pc10
25,h_500_weekave_mexico_gulf_pc11
26,t_500_weekave_mexico_gulf_pc10
27,slp_weekave_mexico_gulf_pc17
27,h_850_weekave_mexico_gulf_pc15
28,h_850_weekave_mexico_gulf_pc18
28,slp_weekave_mexico_gulf_pc20
29,h_500_weekave_mexico_gulf_pc19
30,slp_weekave_mexico_gulf_pc14
30,h_850_weekave_mexico_gulf_pc11
31,t_500_weekave_mexico_gulf_pc9
32,h_500_weekave_mexico_gulf_pc10
33,t_850_weekave_mexico_gulf_pc13
34,h_850_weekave_mexico_gulf_pc16
35,t_850_weekave_mexico_gulf_pc10
36,ts_weekave_mexico_gulf_pc15
37,t_500_weekave_mexico_gulf_pc12
38,h_500_weekave_mexico_gulf_pc13
39,ts_weekave_mexico_gulf_pc11
40,slp_weekave_mexico_gulf_pc13
41,h_850_weekave_mexico_gulf_pc13
42,slp_weekave_mexico_gulf_pc16
43,t_850_weekave_mexico_gulf_pc12
44,h_850_weekave_mexico_gulf_pc12
44,slp_weekave_mexico_gulf_pc15
45,h_500_weekave_mexico_gulf_pc14
46,ts_weekave_mexico_gulf_pc9
47,t_850_weekave_mexico_gulf_pc18
48,ts_weekave_mexico_gulf_pc10
49,t_850_weekave_mexico_gulf_pc15
50,slp_weekave_mexico_gulf_pc10
50,t_850_weekave_mexico_gulf_pc7
51,t_850_weekave_conus_pc20
52,ts_weekave_mexico_gulf_pc12
53,t_850_weekave_mexico_gulf_pc14
54,h_850_weekave_mexico_gulf_pc14
54,slp_weekave_mexico_gulf_pc19
55,h_500_weekave_mexico_gulf_pc17
56,t_850_weekave_mexico_gulf_pc20
57,t_500_weekave_mexico_gulf_pc17
58,slp_weekave_east_asia_pc19
58,h_850_weekave_east_asia_pc15
59,t_850_weekave_east_asia_pc17
59,h_500_weekave_east_asia_pc15
60,ts_weekave_east_asia_pc17
61,h_500_weekave_east_asia_pc19
61,t_500_weekave_east_asia_pc18
62,h_500_weekave_east_asia_pc16
62,h_850_weekave_east_asia_pc14
63,t_850_weekave_east_asia_pc16
63,ts_weekave_east_asia_pc15
64,h_500_weekave_east_asia_pc20
64,t_500_weekave_east_asia_pc20
64,t_850_weekave_east_asia_pc19
65,ts_weekave_east_asia_pc18
66,t_850_weekave_east_asia_pc20
67,h_500_weekave_east_asia_pc17
67,h_850_weekave_east_asia_pc17
68,h_500_weekave_east_asia_pc18
68,t_850_weekave_east_asia_pc18
68,t_500_weekave_east_asia_pc19
69,h_850_weekave_east_asia_pc11
69,slp_weekave_east_asia_pc17
70,h_500_weekave_east_asia_pc11
70,t_500_weekave_east_asia_pc14
71,ts_weekave_east_asia_pc19
72,slp_weekave_east_asia_pc16
72,h_850_weekave_east_asia_pc12
73,h_500_weekave_east_asia_pc14
73,t_850_weekave_east_asia_pc13
73,t_500_weekave_east_asia_pc15
74,ts_weekave_east_asia_pc14
75,ts_weekave_east_asia_pc13
76,t_500_weekave_east_asia_pc16
76,t_850_weekave_east_asia_pc11
76,h_500_weekave_east_asia_pc12
77,ts_weekave_east_asia_pc20
78,slp_weekave_east_asia_pc18
78,h_850_weekave_east_asia_pc16
79,h_850_weekave_east_asia_pc18
79,slp_weekave_east_asia_pc20
80,t_850_weekave_east_asia_pc15
80,ts_weekave_east_asia_pc12
81,t_500_weekave_east_asia_pc17
82,slp_weekave_east_asia_pc9
82,h_850_weekave_east_asia_pc10
83,slp_weekave_east_asia_pc14
84,h_500_weekave_east_asia_pc13
84,t_850_weekave_east_asia_pc14
84,t_500_weekave_east_asia_pc13
85,h_500_weekave_east_asia_pc10
85,t_500_weekave_east_asia_pc12
85,t_850_weekave_east_asia_pc10
85,ts_weekave_east_asia_pc9
86,slp_weekave_east_asia_pc11
87,h_850_weekave_east_asia_pc19
88,t_850_weekave_east_asia_pc9
88,ts_weekave_east_asia_pc8
89,slp_weekave_east_asia_pc15
89,h_850_weekave_east_asia_pc13
90,t_850_weekave_east_asia_pc12
90,ts_weekave_east_asia_pc16
91,h_850_weekave_east_asia_pc9
91,h_500_weekave_east_asia_pc9
92,t_500_weekave_east_asia_pc9
92,slp_weekave_east_asia_pc12
93,t_850_weekave_east_asia_pc8
93,ts_weekave_east_asia_pc10
93,h_500_weekave_east_asia_pc8
94,t_500_weekave_east_asia_pc10
94,slp_weekave_east_asia_pc10
95,ts_weekave_east_asia_pc11
96,h_850_weekave_east_asia_pc20
97,t_500_weekave_pacific_trop_pc15
98,h_500_weekave_pacific_trop_pc18
99,t_500_weekave_pacific_trop_pc18
99,h_500_weekave_pacific_trop_pc17
100,slp_weekave_pacific_trop_pc20
100,h_850_weekave_pacific_trop_pc20
101,slp_weekave_pacific_trop_pc19
101,h_850_weekave_pacific_trop_pc19
102,h_500_weekave_pacific_ocean_pc20
102,t_500_weekave_pacific_ocean_pc18
103,t_850_weekave_pacific_ocean_pc19
104,t_500_weekave_pacific_ocean_pc19
105,t_500_weekave_pacific_trop_pc19
106,t_850_weekave_pacific_trop_pc5
107,ts_weekave_pacific_trop_pc9
108,ts_weekave_pacific_ocean_pc15
109,t_850_weekave_pacific_ocean_pc20
110,slp_weekave_pacific_trop_pc10
110,h_850_weekave_pacific_trop_pc10
111,t_850_weekave_pacific_trop_pc12
112,h_500_weekave_pacific_trop_pc11
112,t_500_weekave_pacific_trop_pc9
113,t_500_weekave_pacific_trop_pc12
114,slp_weekave_pacific_ocean_pc18
114,h_500_weekave_pacific_ocean_pc18
114,h_850_weekave_pacific_ocean_pc18
115,slp_weekave_pacific_ocean_pc17
115,h_850_weekave_pacific_ocean_pc17
116,t_500_weekave_pacific_ocean_pc17
116,h_500_weekave_pacific_ocean_pc17
117,t_500_weekave_pacific_trop_pc8
117,h_500_weekave_pacific_trop_pc9
118,t_850_weekave_pacific_trop_pc9
118,t_850_weekave_pacific_ocean_pc18
119,slp_weekave_pacific_ocean_pc19
119,h_850_weekave_pacific_ocean_pc19
