Group,Feature
1,t_500_weekave_atlantic_trop_pc20
2,ts_weekave_atlantic_trop_pc20
3,h_500_weekave_atlantic_trop_pc15
3,t_500_weekave_atlantic_trop_pc16
4,t_500_weekave_mexico_gulf_pc5
5,h_500_weekave_mexico_gulf_pc12
6,h_500_weekave_atlantic_trop_pc20
7,t_500_weekave_atlantic_trop_pc19
8,h_500_weekave_atlantic_trop_pc14
9,t_500_weekave_atlantic_trop_pc18
10,t_500_weekave_atlantic_trop_pc15
11,t_500_weekave_atlantic_trop_pc8
12,h_500_weekave_mexico_gulf_pc20
13,t_500_weekave_mexico_gulf_pc20
14,h_850_weekave_mexico_gulf_pc19
15,h_500_weekave_mexico_gulf_pc15
16,t_500_weekave_mexico_gulf_pc18
17,t_500_weekave_conus_pc20
18,t_500_weekave_mexico_gulf_pc14
19,ts_weekave_atlantic_ocean_pc7
20,t_850_weekave_mexico_gulf_pc20
21,slp_weekave_mexico_gulf_pc17
21,h_850_weekave_mexico_gulf_pc15
22,slp_weekave_mexico_gulf_pc20
22,h_850_weekave_mexico_gulf_pc18
23,h_500_weekave_mexico_gulf_pc19
24,t_500_weekave_mexico_gulf_pc15
25,h_500_weekave_mexico_gulf_pc16
26,h_850_weekave_mexico_gulf_pc17
27,ts_weekave_pacific_trop_pc10
28,ts_weekave_mexico_gulf_pc13
29,t_500_weekave_mexico_gulf_pc11
30,h_500_weekave_mexico_gulf_pc18
31,slp_weekave_mexico_gulf_pc18
32,h_850_weekave_mexico_gulf_pc20
33,ts_weekave_mexico_gulf_pc19
34,t_500_weekave_mexico_gulf_pc19
35,ts_weekave_atlantic_ocean_pc5
36,ts_weekave_atlantic_trop_pc5
37,ts_weekave_pacific_ocean_pc8
38,ts_weekave_atlantic_ocean_pc15
39,t_500_weekave_atlantic_trop_pc13
40,ts_weekave_arctic_pc18
41,SW_lag_3
42,SW_lag_4
43,SW_lag_5
44,SW_lag_1
45,SW_lag_2
46,ts_weekave_pacific_ocean_pc7
47,ts_weekave_atlantic_trop_pc18
48,ts_weekave_atlantic_ocean_pc20
49,ts_weekave_mexico_gulf_pc20
50,t_500_weekave_atlantic_ocean_pc9
51,t_850_weekave_atlantic_ocean_pc10
52,ts_weekave_atlantic_ocean_pc10
53,ts_weekave_arctic_pc13
54,ts_weekave_southern_canada_pc19
55,h_850_weekave_atlantic_trop_pc20
56,slp_weekave_atlantic_trop_pc20
57,ts_weekave_atlantic_trop_pc19
58,ts_weekave_atlantic_ocean_pc16
59,ts_weekave_pacific_trop_pc19
60,ts_weekave_pacific_trop_pc14
61,ts_weekave_atlantic_trop_pc16
62,ts_weekave_pacific_ocean_pc16
63,ts_weekave_pacific_trop_pc7
64,ts_weekave_pacific_ocean_pc13
65,ts_weekave_atlantic_trop_pc10
66,ts_weekave_atlantic_trop_pc15
67,slp_weekave_atlantic_trop_pc16
68,t_850_weekave_atlantic_trop_pc16
69,h_500_weekave_atlantic_trop_pc11
70,t_500_weekave_atlantic_trop_pc11
71,t_500_weekave_atlantic_trop_pc14
72,h_500_weekave_atlantic_trop_pc18
73,slp_weekave_atlantic_trop_pc11
74,t_850_weekave_atlantic_trop_pc15
75,ts_weekave_atlantic_trop_pc17
76,t_850_weekave_atlantic_trop_pc8
77,slp_weekave_atlantic_trop_pc10
78,t_850_weekave_atlantic_trop_pc12
79,h_850_weekave_atlantic_trop_pc13
80,h_850_weekave_atlantic_trop_pc17
80,slp_weekave_atlantic_trop_pc18
81,t_850_weekave_atlantic_trop_pc10
82,slp_weekave_atlantic_trop_pc15
83,h_850_weekave_atlantic_trop_pc16
84,slp_weekave_atlantic_trop_pc17
85,t_850_weekave_atlantic_trop_pc19
86,h_500_weekave_atlantic_trop_pc4
86,t_500_weekave_atlantic_trop_pc5
87,t_850_weekave_mexico_gulf_pc8
88,t_850_weekave_atlantic_trop_pc9
89,ts_weekave_atlantic_trop_pc2
90,t_850_weekave_atlantic_trop_pc13
91,slp_weekave_atlantic_trop_pc8
91,h_850_weekave_atlantic_trop_pc12
92,t_850_weekave_atlantic_trop_pc6
93,slp_weekave_atlantic_trop_pc13
93,h_850_weekave_atlantic_trop_pc11
94,h_500_weekave_atlantic_trop_pc13
95,ts_weekave_atlantic_trop_pc13
96,slp_weekave_atlantic_trop_pc9
96,h_850_weekave_atlantic_trop_pc10
97,t_850_weekave_atlantic_trop_pc14
98,h_850_weekave_atlantic_trop_pc15
99,t_850_weekave_atlantic_ocean_pc9
99,h_850_weekave_atlantic_ocean_pc8
99,h_500_weekave_atlantic_ocean_pc8
99,slp_weekave_atlantic_ocean_pc8
100,t_850_weekave_atlantic_trop_pc5
100,slp_weekave_atlantic_trop_pc2
100,h_850_weekave_atlantic_trop_pc2
101,h_500_weekave_atlantic_trop_pc10
102,t_500_weekave_atlantic_trop_pc3
102,h_500_weekave_atlantic_trop_pc3
103,h_850_weekave_atlantic_trop_pc5
104,h_500_weekave_atlantic_trop_pc12
105,t_850_weekave_atlantic_trop_pc18
106,h_500_weekave_atlantic_trop_pc16
107,t_500_weekave_atlantic_trop_pc17
108,h_500_weekave_atlantic_trop_pc7
108,t_500_weekave_atlantic_trop_pc7
109,h_850_weekave_atlantic_trop_pc6
109,t_850_weekave_atlantic_trop_pc3
109,slp_weekave_atlantic_trop_pc4
110,h_500_weekave_atlantic_trop_pc19
111,t_500_weekave_atlantic_trop_pc12
112,t_500_weekave_atlantic_trop_pc10
112,h_500_weekave_atlantic_trop_pc9
113,t_500_weekave_atlantic_trop_pc9
114,t_500_weekave_atlantic_ocean_pc13
114,t_850_weekave_atlantic_ocean_pc13
115,slp_weekave_atlantic_trop_pc7
115,h_850_weekave_atlantic_trop_pc9
116,t_850_weekave_atlantic_trop_pc7
117,t_850_weekave_atlantic_ocean_pc15
117,t_500_weekave_atlantic_ocean_pc14
118,h_850_weekave_atlantic_ocean_pc15
118,h_500_weekave_atlantic_ocean_pc15
118,slp_weekave_atlantic_ocean_pc15
119,h_850_weekave_atlantic_ocean_pc14
119,slp_weekave_atlantic_ocean_pc14
119,h_500_weekave_atlantic_ocean_pc14
120,t_500_weekave_atlantic_ocean_pc15
121,t_500_weekave_atlantic_ocean_pc11
121,h_850_weekave_atlantic_ocean_pc11
121,t_850_weekave_atlantic_ocean_pc11
121,slp_weekave_atlantic_ocean_pc11
121,h_500_weekave_atlantic_ocean_pc11
122,h_850_weekave_atlantic_trop_pc7
122,slp_weekave_atlantic_trop_pc6
123,h_500_weekave_atlantic_trop_pc17
124,t_500_weekave_atlantic_ocean_pc12
125,t_850_weekave_atlantic_ocean_pc14
126,h_850_weekave_atlantic_ocean_pc12
126,h_500_weekave_atlantic_ocean_pc12
126,slp_weekave_atlantic_ocean_pc12
127,t_500_weekave_atlantic_trop_pc6
127,h_500_weekave_atlantic_trop_pc6
128,slp_weekave_atlantic_trop_pc14
128,h_850_weekave_atlantic_trop_pc14
129,t_850_weekave_atlantic_trop_pc20
130,slp_weekave_southern_canada_pc10
130,h_850_weekave_southern_canada_pc10
